ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('positive', 0.92)",positive,Excited,"('Excited', 0.5097584653193903)",Passed an exam by points.
"('negative', 0.59)",negative,Sad,"('Sad', 0.36504263077008325)","In cottage in large forest, was alone for while in the dark."
"('positive', 0.507)",positive,Fear,"('Fear', 0.27316710597056243)",When spoke to Jan-Erik WikstrÃ·m on the telephone.
"('positive', 0.789)",positive,Happy,"('Happy', 0.35778054473735027)",Railway station good-bye.
"('negative', 0.541)",negative,Sad,"('Sad', 0.39043171912787195)",saw cripple in rags with small children in Italy. He was probably an imposter.
"('positive', 0.509)",positive,Bored,"('Bored', 0.2250417146815348)",told friend that was going to party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that.
"('negative', 0.667)",negative,Sad,"('Sad', 0.36264962480489343)",was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him.
"('positive', 0.692)",positive,Excited,"('Excited', 0.338750991913628)",passed an exam that was absolutely certain that had failed.
"('negative', 0.596)",negative,Fear,"('Fear', 0.4938631862133419)","On the way back from Denmark with friend on small yatch, there was storm and my friend was blown overboard; was very scared till managed to get him back onboard."
"('negative', 0.986)",negative,Angry,"('Angry', 0.478143383758315)",locked myself out.
"('negative', 0.787)",negative,Angry,"('Angry', 0.41341751238394986)",missed the last tram home and had to walk in the pouring rain.
"('negative', 0.488)",negative,Fear,"('Fear', 0.6137353657747433)",found some worms in the food and had obviously eaten some.
"('negative', 0.667)",negative,Sad,"('Sad', 0.35176551377583193)","My friend was so intoxicated that the police came and took him away, and they later contacted his parents."
"('negative', 0.72)",negative,Sad,"('Sad', 0.37542736658528386)",hapened to overhear something which was not meant to hear.
"('positive', 0.829)",positive,Excited,"('Excited', 0.35172928122796815)",When won trip to Greece in competition.
"('negative', 0.766)",negative,Fear,"('Fear', 0.3451857744617985)",When am out in the dark and suspicious looking character comes towards me.
"('negative', 0.745)",negative,Angry,"('Angry', 0.3130538385110895)","At work, when an elderly man complained unjustifiably about me and distrusted me."
"('negative', 0.917)",negative,Bored,"('Bored', 0.51268652715087)",When had not understood anything after lecture.
"('neutral', 0.475)",neutral,Fear,"('Fear', 0.31439940826107765)",When an alcoholic stood dribbling over food counter.
"('positive', 0.887)",positive,Fear,"('Fear', 0.3273298269795336)",When my friend and were discussing the good looks of guy we realized that he had been listening.
"('negative', 0.553)",negative,Fear,"('Fear', 0.3210625958800975)",When complained about colleague to the manager and he told her that someone had complained; this colleague came to me believing that liked her.
"('positive', 0.993)",positive,Happy,"('Happy', 0.7378111833134218)",At friend's birthday party with some of my closest friends. It was all very pleasant and one could say that was happy to have such good friends.
