content,sentiment
How do everyone feel about the Climate Change question last night Exactly,2
Didnt catch the full last night Here be some of best line in second,1
No mention of Rice and the be hold in Wow,2
That be trend after HER debate above any of the men in say on,1
w deliver the highest rat in the history of presidential debate,1
On my first day I will rescind every illegal executive action take by,1
I like her and be happy when I hear she be go to be the moderator Not,0
Going on Live with around,2
Deer in the Ben may be the only brain surgeon who have perform a lobotomy on himself,0
Last nights debate prove it,0
In all fairness own that phrase,0
Just wake up to tweet this out Best line of the night via,1
Me read my comment about how great the be,0
Dear,2
I love Walker as Mark romantic rival in SUMMER SCHOOL Look it up,1
Hey exploit the tragedy of for your own political gain be s thing,0
under fire for comment about @ weigh in on,0
Guess who have most speak time at the with of time,0
reason comment be funny in case ignorant be the be the reason the government work for the people,0
Paying for surgery for soldier and do not make our country,0
have class truth that get my vote,1
be still Clown Show glad Head Clown Trump help destroy,0
No I hate Parenthood and more NO I HATE PARENTHOOD AND MORE,0
Vine by,2
Fox News try to convince us young Black be more worry about than police terrorism,0
rank worst to be performance Bush Trump Walker,0
Abortion Ban Rapist Father To Sue For Emotional Distress,0
Its not a competition but how have we move so far on gay right but right be worse than its ever be,0
be still Clown Show glad Head Clown Trump help destroy,0
Watch the Bet you feel like donate to a Democrat right about now,0
theyre go to need to borrow the train horn for the next The little bell be,0
Ted at the will be like Ted in bed He will keep a confusingly sad look on his face and refuse to,0
The First Social Media Reaction and More,2
The First Social Media Reaction and More,2
An update on tech for the,0
The have be pass be no longer the most Famous Political Assassin U Wi,0
ticket would win in a landslide,0
Bush be at fault not my brother because didnt clean up the mess my brother make,0
After the Fox News we primary be none the wiser on the policy plan these be put forth Journalism,0
listen to wap while pack because a true,2
Trump be a cross between the shrug and President Business from the movie,0
Meanwhile in the White House,0
If plan out a drink game right now a Rowdy Gentleman,2
PLEASE,0
Trump think criticism of his misogynistic remark be a political correctness problem Nope its a pervasive problem,0
How the handle,0
The goal of last night be to take out Trump and pave the way for a like Bush or,2
From our Live Chat Room,2
w deliver the highest rat in the history of presidential debate Fox say thank,1
moment say purpose of military to kill re,0
The best and worst from the,2
Big be and reaction to question,1
a question WHY in the hell be our body part even in this debate stop it its not,0
get behead overseas and be worry whether call fat,0
I wont defend they be FAR from fair OR balance last night but name call be juvenile,0
To God question underline how little anyone really care about religious,0
The response to be pathetic,0
say he cut tax by But that include cut in estate tax mandate by federal law,0
Dear If you want to stop,0
Join and sign your death warrant next President of the US,1
close,0
Status Single I break up with last night,0
