ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('negative', 0.523)",negative,Fear,"('Fear', 0.2372130001789414)", know was listenin to bad habit earlier and started freakin at his part =[
"('negative', 0.768)",negative,Sad,"('Sad', 0.3559605465156885)",Layin bed with headache ughhhh...waitin on your call...
"('negative', 0.591)",negative,Sad,"('Sad', 0.6904091103132315)",Funeral ceremony...gloomy friday...
"('neutral', 0.829)",neutral,Happy,"('Happy', 0.33905738195809704)",wants to hang out with friends SOON!
"('negative', 0.868)",negative,Sad,"('Sad', 0.5166822472725972)"," We want to trade with someone who has Houston tickets, but no one will."
"('negative', 0.868)",negative,Sad,"('Sad', 0.39276264879038697)",Re-pinging : why didn't you go to prom? BC my bf didn't like my friends
"('positive', 0.436)",positive,Fear,"('Fear', 0.24067542096513755)","should be sleep, but im not! thinking about an old friend who want. but he's married now. damn, ; he wants me ! scandalous!"
"('negative', 0.552)",negative,Sad,"('Sad', 0.5346392187824496)",Hmmm.  is down
"('positive', 0.899)",positive,Sad,"('Sad', 0.5372251237304156)", Charlene my love. miss you
"('neutral', 0.468)",neutral,Sad,"('Sad', 0.32108843335930765)", I'm sorry at least it's Friday?
"('negative', 0.997)",negative,Sad,"('Sad', 0.3471149717370801)",cant fall asleep
"('negative', 0.549)",negative,Fear,"('Fear', 0.38090267322945687)",Choked on her retainers
"('negative', 0.945)",negative,Angry,"('Angry', 0.8318096747515326)",Ugh! have to beat this stupid song to get to the next rude!
"('neutral', 0.648)",neutral,Fear,"('Fear', 0.2777334188807084)", if watch the hills in london will realise what tourture it is because were weeks and weeks late just watch itonlinelol
"('positive', 0.937)",positive,Excited,"('Excited', 0.3923996429103704)",Got the news
"('negative', 0.804)",negative,Sad,"('Sad', 0.3999547911138616)",The storm is here and the electricity is gone
"('positive', 0.774)",positive,Happy,"('Happy', 0.2725048007358051)", agreed
"('negative', 0.929)",negative,Bored,"('Bored', 0.7401163261660099)",So sleepy again and it's not even that late. fail once again.
"('positive', 0.379)",positive,Fear,"('Fear', 0.24393031715120772)", lady gaga tweeted about not being impressed by her video leaking just so you know
"('negative', 0.939)",negative,Sad,"('Sad', 0.36303094837954286)",How are YOU convinced that have always wanted you? What signals did give off...damn think just lost another friend
"('negative', 0.795)",negative,Bored,"('Bored', 0.5283157067604023)", oh too bad! hope it gets better. I've been having sleep issues lately too
"('negative', 0.631)",negative,Excited,"('Excited', 0.6169483112315792)","Wondering why I'm awake at am,writing new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
"('negative', 0.512)",negative,Angry,"('Angry', 0.24988347573214142)",No Topic Maps talks at the Balisage Markup Conference  Program online at  (via ) #topicmaps
"('negative', 0.873)",negative,Fear,"('Fear', 0.41145482478316425)",ate Something don't know what it is... Why do keep Telling things about food
"('positive', 0.49)",positive,Bored,"('Bored', 0.8244019312100298)",so tired and think i'm definitely going to get an ear infection. going to bed ;early; for once.
"('negative', 0.826)",negative,Sad,"('Sad', 0.3201668454652701)",On my way home having deal underage girls drinking gin on da bus while talking bout keggers......damn feel old
"('negative', 0.773)",negative,Angry,"('Angry', 0.7246668115541535)"," i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
"('negative', 0.959)",negative,Angry,"('Angry', 0.6120158967390203)",Damm servers still down need to hit  before all the koxpers pass me
"('negative', 0.94)",negative,Bored,"('Bored', 0.8188523959452336)",Fudge.... Just BS'd that whole paper.... So tired.... Ugh hate school..... time to sleep!!!!!!!!!!!
"('negative', 0.987)",negative,Sad,"('Sad', 0.5097627103573238)",HATE CANCER. HATE IT HATE IT HATE IT.
"('negative', 0.982)",negative,Angry,"('Angry', 0.8269712323373931)",It is so annoying when she starts typing on her computer in the middle of the night!
"('negative', 0.982)",negative,Sad,"('Sad', 0.3283538439242301)",_ cant sleep
"('negative', 0.755)",negative,Angry,"('Angry', 0.5869567628823493)",missed the bl***y bus!!!!!!!!
"('positive', 0.536)",positive,Sad,"('Sad', 0.3593313506634356)",feels strong contractions but wants to go out. 
"('neutral', 0.619)",neutral,Excited,"('Excited', 0.32988206132124376)",SoCal! stoked. or maybe not.. tomorrow
"('negative', 0.865)",negative,Angry,"('Angry', 0.5775751339994106)",Screw you ! only have weeks...
"('negative', 0.545)",negative,Bored,"('Bored', 0.27169170133437437)",_radio yeah :S feel all funny cause haven't slept enough woke my mum up cause was singing she's not impressed :S you?
"('negative', 0.691)",negative,Sad,"('Sad', 0.3209051722713762)",need skott right now
"('negative', 0.699)",negative,Bored,"('Bored', 0.33492009855565746)",has work this afternoon
"('negative', 0.573)",negative,Sad,"('Sad', 0.34748720619809903)", Aw you would not unfollow me would you? Then would cry
"('positive', 0.864)",positive,Bored,"('Bored', 0.247609461602172)",mmm much better day... so far! it's still quite early. last day of #uds
"('positive', 0.597)",positive,Excited,"('Excited', 0.4631247527716307)", ; your gonna be the first twitter ;) cause your amazing lol. come to canada would do anything to see you perform
"('positive', 0.576)",positive,Sad,"('Sad', 0.4423573429052845)",just picked up her Blackberry from the middle of the street! Both she and it are crushed!
"('negative', 0.938)",negative,Sad,"('Sad', 0.41626096327414513)",Why do have the feeling should be packing and hitting for SFO around this time of the year? think I'm missing something...
"('negative', 0.735)",negative,Sad,"('Sad', 0.47423617153608905)", middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
"('negative', 0.463)",negative,Fear,"('Fear', 0.40043575696188044)","Bed!!!!!... its time,..... hope go to school tomorrow, all though don't feel very well right now"
"('negative', 0.568)",negative,Sad,"('Sad', 0.4126497977302396)"," Ahh. ... Well, was hoping that could learn some stuff on the way. ... Why not you and work on separate things but also"
"('negative', 0.904)",negative,Fear,"('Fear', 0.34954532228263563)",I'm having problem with my photo here in twitter amf!!!...can't see my face!
"('neutral', 0.676)",neutral,Angry,"('Angry', 0.4092711267984748)",", oh noooo! if blow tire you're reaaaally going to have to send up some batman smoke."
"('positive', 0.496)",positive,Fear,"('Fear', 0.26678883353950034)",wnna take bath!!!!
"('negative', 0.471)",negative,Sad,"('Sad', 0.22122859356610242)",Chocolate milk is so much better through straw. lack said straw
"('negative', 0.984)",negative,Bored,"('Bored', 0.8381219964686879)",why am so tired?
"('positive', 0.531)",positive,Angry,"('Angry', 0.27889409880891103)", hey yu lil fucker textd yu
"('negative', 0.667)",negative,Bored,"('Bored', 0.6660082835658764)"," time diff and i've just been wrapped up in day to day stuff so havent been tweeting. talk soon,must sleep...up in hrs"
"('negative', 0.935)",negative,Sad,"('Sad', 0.5231263803404778)", no way! damn that sucks B! are you ok?
"('negative', 0.981)",negative,Sad,"('Sad', 0.6769383760403462)",sucks not being able to take days off of work or have the money to take the trip so sad
"('positive', 0.651)",positive,Fear,"('Fear', 0.3607245745436416)","bed...sorta. today was good, sara has strep thought Angelina does to; shared water with her B they told me, will prob get it to"
"('neutral', 0.386)",neutral,Excited,"('Excited', 0.25229145093416244)", the recession. her hotel are restructuring how the accounts are done. adds bit more pressure in the short term but we'll cope
"('positive', 0.67)",positive,Happy,"('Happy', 0.3002711786058653)", But got dibs on Sulu...
"('positive', 0.947)",positive,Sad,"('Sad', 0.7233558156506177)"," Aww Onward and upwards now, yay! Still sad to leave bet."
"('negative', 0.406)",negative,Excited,"('Excited', 0.46527551971455444)", at once haha. poor aby still gets sore!
"('positive', 0.885)",positive,Sad,"('Sad', 0.4265670955732966)",diesel yaris... mpg so sad its not available in the US. That'd be awesome.
"('negative', 0.898)",negative,Sad,"('Sad', 0.3631653078318803)",want to buy this great album but unfortunately dont hav enuff funds its ;long time noisy;
"('negative', 0.772)",negative,Sad,"('Sad', 0.46124382482519893)", in all honesty...pain blech.
"('negative', 0.669)",negative,Sad,"('Sad', 0.5683678601191537)",Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
"('negative', 0.948)",negative,Sad,"('Sad', 0.41679495129817673)",At home alone with not much to do
