ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('negative', 0.575)",negative,Bored,"('Bored', 0.33262085037284644)",How do everyone feel about the Climate Change question last night Exactly
"('negative', 0.556)",negative,Sad,"('Sad', 0.2504850260643891)",Didnt catch the full last night Here be some of best line in second
"('negative', 0.48)",negative,Fear,"('Fear', 0.2981688204583411)",No mention of Rice and the be hold in Wow
"('neutral', 0.405)",neutral,Bored,"('Bored', 0.38174429930684806)",That be trend after HER debate above any of the men in say on
"('neutral', 0.598)",neutral,Fear,"('Fear', 0.24223484903269146)",w deliver the highest rat in the history of presidential debate
"('negative', 0.536)",negative,Angry,"('Angry', 0.421201897496019)",On my first day I will rescind every illegal executive action take by
"('positive', 0.79)",positive,Angry,"('Angry', 0.24041968132700603)",I like her and be happy when I hear she be go to be the moderator Not
"('neutral', 0.756)",neutral,Excited,"('Excited', 0.3087609559922249)",Going on Live with around
"('neutral', 0.457)",neutral,Fear,"('Fear', 0.3677790024221008)",Deer in the Ben may be the only brain surgeon who have perform a lobotomy on himself
"('neutral', 0.656)",neutral,Excited,"('Excited', 0.3100443336985812)",Last nights debate prove it
"('neutral', 0.61)",neutral,Bored,"('Bored', 0.3013411272771677)",In all fairness own that phrase
"('positive', 0.664)",positive,Bored,"('Bored', 0.28810228396608467)",Just wake up to tweet this out Best line of the night via
"('positive', 0.972)",positive,Fear,"('Fear', 0.3093557456474482)",Me read my comment about how great the be
"('positive', 0.888)",positive,Happy,"('Happy', 0.3426848929360539)",Dear
"('positive', 0.971)",positive,Happy,"('Happy', 0.38112398114376467)",I love Walker as Mark romantic rival in SUMMER SCHOOL Look it up
"('neutral', 0.359)",neutral,Excited,"('Excited', 0.3071052951108689)",Hey exploit the tragedy of for your own political gain be s thing
"('neutral', 0.608)",neutral,Fear,"('Fear', 0.3292280958224571)",under fire for comment about @ weigh in on
"('neutral', 0.544)",neutral,Excited,"('Excited', 0.27713463450397136)",Guess who have most speak time at the with of time
"('negative', 0.44)",negative,Bored,"('Bored', 0.42863397909532386)",reason comment be funny in case ignorant be the be the reason the government work for the people
"('negative', 0.897)",negative,Angry,"('Angry', 0.3474363881247018)",Paying for surgery for soldier and do not make our country
"('positive', 0.633)",positive,Excited,"('Excited', 0.37359386644349407)",have class truth that get my vote
"('neutral', 0.711)",neutral,Excited,"('Excited', 0.2754455628190312)",be still Clown Show glad Head Clown Trump help destroy
"('negative', 0.861)",negative,Angry,"('Angry', 0.589939931422476)",No I hate Parenthood and more NO I HATE PARENTHOOD AND MORE
"('positive', 0.747)",positive,Fear,"('Fear', 0.24025696123841644)",Vine by
"('negative', 0.779)",negative,Bored,"('Bored', 0.2891194566248325)",Fox News try to convince us young Black be more worry about than police terrorism
"('negative', 0.764)",negative,Fear,"('Fear', 0.3170255125582777)",rank worst to be performance Bush Trump Walker
"('negative', 0.883)",negative,Sad,"('Sad', 0.3893493379635257)",Abortion Ban Rapist Father To Sue For Emotional Distress
"('negative', 0.783)",negative,Sad,"('Sad', 0.25422972603921806)",Its not a competition but how have we move so far on gay right but right be worse than its ever be
"('neutral', 0.711)",neutral,Excited,"('Excited', 0.2754455628190312)",be still Clown Show glad Head Clown Trump help destroy
"('neutral', 0.757)",neutral,Fear,"('Fear', 0.207126119830386)",Watch the Bet you feel like donate to a Democrat right about now
"('neutral', 0.575)",neutral,Angry,"('Angry', 0.38351850720069797)",theyre go to need to borrow the train horn for the next The little bell be
"('negative', 0.567)",negative,Sad,"('Sad', 0.3404859642836201)",Ted at the will be like Ted in bed He will keep a confusingly sad look on his face and refuse to
"('positive', 0.599)",positive,Fear,"('Fear', 0.3181569097990146)",The First Social Media Reaction and More
"('positive', 0.599)",positive,Fear,"('Fear', 0.3181569097990146)",The First Social Media Reaction and More
"('neutral', 0.399)",neutral,Angry,"('Angry', 0.32679137302784556)",An update on tech for the
"('negative', 0.555)",negative,Angry,"('Angry', 0.3238050527535372)",The have be pass be no longer the most Famous Political Assassin U Wi
"('neutral', 0.439)",neutral,Excited,"('Excited', 0.20060371634567228)",ticket would win in a landslide
"('negative', 0.875)",negative,Angry,"('Angry', 0.5336906251278537)",Bush be at fault not my brother because didnt clean up the mess my brother make
"('negative', 0.572)",negative,Sad,"('Sad', 0.228871954324034)",After the Fox News we primary be none the wiser on the policy plan these be put forth Journalism
"('positive', 0.798)",positive,Happy,"('Happy', 0.37486216814364515)",listen to wap while pack because a true
"('negative', 0.405)",negative,Bored,"('Bored', 0.2919090912250166)",Trump be a cross between the shrug and President Business from the movie
"('negative', 0.383)",negative,Bored,"('Bored', 0.24822465156896314)",Meanwhile in the White House
"('positive', 0.899)",positive,Excited,"('Excited', 0.38228831977022487)",If plan out a drink game right now a Rowdy Gentleman
"('neutral', 0.897)",neutral,Sad,"('Sad', 0.31119815899771286)",PLEASE
"('negative', 0.854)",negative,Bored,"('Bored', 0.25552493988760716)",Trump think criticism of his misogynistic remark be a political correctness problem Nope its a pervasive problem
"('neutral', 0.702)",neutral,Happy,"('Happy', 0.20940669319011246)",How the handle
"('neutral', 0.403)",neutral,Fear,"('Fear', 0.3076493670811282)",The goal of last night be to take out Trump and pave the way for a like Bush or
"('neutral', 0.741)",neutral,Sad,"('Sad', 0.2395900049521245)",From our Live Chat Room
"('positive', 0.601)",positive,Excited,"('Excited', 0.2586024600868841)",w deliver the highest rat in the history of presidential debate Fox say thank
"('neutral', 0.417)",neutral,Sad,"('Sad', 0.32810693394346346)",moment say purpose of military to kill re
